NAME_0,NAME_1,P_Int,P_Str,P_4
Philippines,Abra,1401,1401,1401
Philippines,Agusan del Norte,1602,1602,1602
Philippines,Agusan del Sur,1603,1603,1603
Philippines,Aklan,604,604,0604
Philippines,Albay,505,505,0505
Philippines,Antique,606,606,0606
Philippines,Apayao,1481,1481,1481
Philippines,Aurora,377,377,0377
Philippines,Basilan,997,997,0997
Philippines,Basilan,1507,1507,1507
Philippines,Bataan,308,308,0308
Philippines,Batanes,209,209,0209
Philippines,Batangas,410,410,0410
Philippines,Benguet,1411,1411,1411
Philippines,Biliran,878,878,0878
Philippines,Bohol,712,712,0712
Philippines,Bukidnon,1013,1013,1013
Philippines,Bulacan,314,314,0314
Philippines,Cagayan,215,215,0215
Philippines,Camarines Norte,516,516,0516
Philippines,Camarines Sur,517,517,0517
Philippines,Camiguin,1018,1018,1018
Philippines,Capiz,619,619,0619
Philippines,Capiz,630,630,0630
Philippines,Catanduanes,520,520,0520
Philippines,Cavite,421,421,0421
Philippines,Cebu,722,722,0722
Philippines,Compostela Valley,1182,1182,1182
Philippines,Davao del Norte,1123,1123,1123
Philippines,Davao del Sur,1124,1124,1124
Philippines,Davao Oriental,1125,1125,1125
Philippines,Dinagat Islands,1685,1685,1685
Philippines,Eastern Samar,826,826,0826
Philippines,Guimaras,679,679,0679
Philippines,Ifugao,1427,1427,1427
Philippines,Ilocos Norte,128,128,0128
Philippines,Ilocos Sur,129,129,0129
Philippines,Iloilo,630,630,0630
Philippines,Isabela,231,231,0231
Philippines,Kalinga,1432,1432,1432
Philippines,La Union,133,133,0133
Philippines,Laguna,434,434,0434
Philippines,Lanao del Norte,1035,1035,1035
Philippines,Lanao del Sur,1536,1536,1536
Philippines,Leyte,837,837,0837
Philippines,Maguindanao,1298,1298,1298
Philippines,Maguindanao,1538,1538,1538
Philippines,Marinduque,1740,1740,1740
Philippines,Masbate,541,541,0541
Philippines,Metropolitan Manila,1339,1339,1339
Philippines,Metropolitan Manila,1374,1374,1374
Philippines,Metropolitan Manila,1375,1375,1375
Philippines,Metropolitan Manila,1376,1376,1376
Philippines,Misamis Occidental,1042,1042,1042
Philippines,Misamis Oriental,1043,1043,1043
Philippines,Mountain Province,1444,1444,1444
Philippines,Negros Occidental,645,645,0645
Philippines,Negros Oriental,746,746,0746
Philippines,North Cotabato,1247,1247,1247
Philippines,Northern Samar,848,848,0848
Philippines,Nueva Ecija,349,349,0349
Philippines,Nueva Vizcaya,250,250,0250
Philippines,Occidental Mindoro,1751,1751,1751
Philippines,Oriental Mindoro,1752,1752,1752
Philippines,Palawan,1753,1753,1753
Philippines,Pampanga,354,354,0354
Philippines,Pangasinan,155,155,0155
Philippines,Quezon,456,456,0456
Philippines,Quezon,864,864,0864
Philippines,Quirino,257,257,0257
Philippines,Rizal,458,458,0458
Philippines,Romblon,1759,1759,1759
Philippines,Samar,860,860,0860
Philippines,Sarangani,1280,1280,1280
Philippines,Shariff Kabunsuan,1538,1538,1538
Philippines,Siquijor,761,761,0761
Philippines,Sorsogon,562,562,0562
Philippines,South Cotabato,1263,1263,1263
Philippines,Southern Leyte,864,864,0864
Philippines,Sultan Kudarat,1265,1265,1265
Philippines,Sulu,1566,1566,1566
Philippines,Surigao del Norte,1667,1667,1667
Philippines,Surigao del Sur,1668,1668,1668
Philippines,Tarlac,369,369,0369
Philippines,Tawi-Tawi,1570,1570,1570
Philippines,Zambales,371,371,0371
Philippines,Zamboanga del Norte,972,972,0972
Philippines,Zamboanga del Sur,973,973,0973
Philippines,Zamboanga Sibugay,983,983,0983
